# ID        SDSS.g   SDSS.g_err   SDSS.r   SDSS.r_err   SDSS.i   SDSS.i_err   SDSS.z   SDSS.z_err   redshift  
  702103    20.084   0.1          19.349   0.1          19.124   0.1          18.808   0.1          0.3       
  703103    20.083   0.1          19.349   0.1          19.124   0.1          18.808   0.1          0.3       
  704103    20.083   0.1          19.349   0.1          19.124   0.1          18.808   0.1          0.3       
  701104    21.324   0.1          20.684   0.1          20.273   0.1          20.064   0.1          0.5       
  702104    21.323   0.1          20.683   0.1          20.272   0.1          20.064   0.1          0.5       
  703104    21.322   0.1          20.683   0.1          20.272   0.1          20.064   0.1          0.5       
  704104    21.322   0.1          20.683   0.1          20.272   0.1          20.064   0.1          0.5       
  701105    22.257   0.1          22.082   0.1          21.483   0.1          21.128   0.1          0.8       
  702105    22.253   0.1          22.08    0.1          21.48    0.1          21.128   0.1          0.8       
  703105    22.252   0.1          22.08    0.1          21.48    0.1          21.128   0.1          0.8       
  704105    22.253   0.1          22.08    0.1          21.48    0.1          21.128   0.1          0.8       
  701106    22.606   0.1          22.55    0.1          22.229   0.1          21.687   0.1          1.0       
  702106    22.601   0.1          22.547   0.1          22.222   0.1          21.687   0.1          1.0       
  703106    22.601   0.1          22.547   0.1          22.222   0.1          21.686   0.1          1.0       
  704106    22.601   0.1          22.547   0.1          22.222   0.1          21.686   0.1          1.0       
  701107    23.164   0.1          23.236   0.1          23.192   0.1          22.968   0.1          1.5       
  702107    23.159   0.1          23.23    0.1          23.176   0.1          22.965   0.1          1.5       
  703107    23.159   0.1          23.231   0.1          23.176   0.1          22.965   0.1          1.5       
  704107    23.159   0.1          23.231   0.1          23.176   0.1          22.965   0.1          1.5       
  701108    23.518   0.1          23.546   0.1          23.639   0.1          23.558   0.1          2.0       
  702108    23.511   0.1          23.536   0.1          23.612   0.1          23.554   0.1          2.0       
  703108    23.51    0.1          23.538   0.1          23.613   0.1          23.554   0.1          2.0       
  704108    23.51    0.1          23.538   0.1          23.613   0.1          23.554   0.1          2.0       
  800000    14.837   0.1          14.259   0.1          13.98    0.1          13.757   0.1          0.024272  
  801101    16.946   0.1          16.323   0.1          16.005   0.1          15.8     0.1          0.06      
  802101    16.946   0.1          16.323   0.1          16.005   0.1          15.8     0.1          0.06      
  803101    16.946   0.1          16.323   0.1          16.005   0.1          15.8     0.1          0.06      
  804101    16.946   0.1          16.323   0.1          16.005   0.1          15.8     0.1          0.06      
  801102    18.17    0.1          17.479   0.1          17.134   0.1          16.949   0.1          0.1       
  802102    18.17    0.1          17.479   0.1          17.134   0.1          16.949   0.1          0.1       
  803102    18.17    0.1          17.479   0.1          17.134   0.1          16.949   0.1          0.1       
  804102    18.17    0.1          17.479   0.1          17.134   0.1          16.949   0.1          0.1       
  801103    21.223   0.1          20.08    0.1          19.703   0.1          19.396   0.1          0.3       
  802103    21.221   0.1          20.08    0.1          19.703   0.1          19.396   0.1          0.3       
  803103    21.221   0.1          20.08    0.1          19.703   0.1          19.396   0.1          0.3       
  804103    21.221   0.1          20.08    0.1          19.703   0.1          19.396   0.1          0.3       
  801104    22.779   0.1          21.575   0.1          20.971   0.1          20.633   0.1          0.5       
  802104    22.77    0.1          21.575   0.1          20.971   0.1          20.633   0.1          0.5       
  803104    22.771   0.1          21.575   0.1          20.971   0.1          20.633   0.1          0.5       
  804104    22.771   0.1          21.575   0.1          20.971   0.1          20.633   0.1          0.5       
  801105    24.112   0.1          23.332   0.1          22.351   0.1          21.825   0.1          0.8       
  802105    24.102   0.1          23.333   0.1          22.352   0.1          21.825   0.1          0.8       
  803105    24.102   0.1          23.333   0.1          22.351   0.1          21.825   0.1          0.8       
  804105    24.102   0.1          23.333   0.1          22.351   0.1          21.825   0.1          0.8       
  801106    24.587   0.1          24.011   0.1          23.299   0.1          22.457   0.1          1.0       
  802106    24.578   0.1          24.015   0.1          23.301   0.1          22.458   0.1          1.0       
  803106    24.578   0.1          24.014   0.1          23.3     0.1          22.458   0.1          1.0       
  804106    24.579   0.1          24.014   0.1          23.299   0.1          22.458   0.1          1.0       
  801107    25.318   0.1          25.161   0.1          24.718   0.1          24.137   0.1          1.5       
  802107    25.288   0.1          25.167   0.1          24.721   0.1          24.134   0.1          1.5       
  803107    25.291   0.1          25.166   0.1          24.718   0.1          24.135   0.1          1.5       
  804107    25.292   0.1          25.165   0.1          24.719   0.1          24.135   0.1          1.5       
  801108    25.813   0.1          25.587   0.1          25.538   0.1          25.118   0.1          2.0       
  802108    25.754   0.1          25.599   0.1          25.542   0.1          25.112   0.1          2.0       
  803108    25.759   0.1          25.597   0.1          25.537   0.1          25.115   0.1          2.0       
  804108    25.76    0.1          25.596   0.1          25.537   0.1          25.116   0.1          2.0       
  1200000   16.135   0.1          15.745   0.1          15.543   0.1          15.368   0.1          0.016529  
  1201101   19.09    0.1          18.654   0.1          18.301   0.1          18.226   0.1          0.06      
  1202101   19.09    0.1          18.655   0.1          18.301   0.1          18.226   0.1          0.06      
  1203101   19.09    0.1          18.655   0.1          18.301   0.1          18.226   0.1          0.06      
  1204101   19.09    0.1          18.655   0.1          18.301   0.1          18.226   0.1          0.06      
  1201102   20.3     0.1          19.761   0.1          19.415   0.1          19.371   0.1          0.1       
  1202102   20.3     0.1          19.761   0.1          19.414   0.1          19.371   0.1          0.1       
  1203102   20.299   0.1          19.761   0.1          19.414   0.1          19.371   0.1          0.1       
  1204102   20.299   0.1          19.761   0.1          19.414   0.1          19.371   0.1          0.1       
  1201103   23.123   0.1          22.221   0.1          22.035   0.1          21.664   0.1          0.3       
  1202103   23.121   0.1          22.222   0.1          22.032   0.1          21.663   0.1          0.3       
  1203103   23.121   0.1          22.221   0.1          22.033   0.1          21.663   0.1          0.3       
  1204103   23.121   0.1          22.221   0.1          22.033   0.1          21.663   0.1          0.3       
  1201104   24.459   0.1          23.648   0.1          23.147   0.1          22.956   0.1          0.5       
  1202104   24.449   0.1          23.65    0.1          23.141   0.1          22.955   0.1          0.5       
  1203104   24.449   0.1          23.649   0.1          23.142   0.1          22.955   0.1          0.5       
  1204104   24.449   0.1          23.649   0.1          23.142   0.1          22.955   0.1          0.5       
  1201105   25.466   0.1          25.146   0.1          24.448   0.1          24.001   0.1          0.8       
  1202105   25.467   0.1          25.163   0.1          24.439   0.1          24.007   0.1          0.8       
  1203105   25.468   0.1          25.159   0.1          24.441   0.1          24.006   0.1          0.8       
  1204105   25.468   0.1          25.159   0.1          24.441   0.1          24.006   0.1          0.8       
  1201106   25.881   0.1          25.671   0.1          25.251   0.1          24.627   0.1          1.0       
  1202106   25.858   0.1          25.681   0.1          25.233   0.1          24.623   0.1          1.0       
  1203106   25.857   0.1          25.678   0.1          25.238   0.1          24.623   0.1          1.0       
  1204106   25.857   0.1          25.678   0.1          25.238   0.1          24.622   0.1          1.0       
  1201107   26.513   0.1          26.482   0.1          26.345   0.1          26.043   0.1          1.5       
  1202107   26.464   0.1          26.476   0.1          26.314   0.1          26.02    0.1          1.5       
  1203107   26.47    0.1          26.468   0.1          26.321   0.1          26.016   0.1          1.5       
  1204107   26.47    0.1          26.468   0.1          26.322   0.1          26.016   0.1          1.5       
  1201108   26.876   0.1          26.839   0.1          26.882   0.1          26.77    0.1          2.0       
  1202108   26.848   0.1          26.837   0.1          26.832   0.1          26.711   0.1          2.0       
  1203108   26.856   0.1          26.826   0.1          26.844   0.1          26.705   0.1          2.0       
  1204108   26.856   0.1          26.826   0.1          26.845   0.1          26.703   0.1          2.0       
  1300000   15.878   0.1          15.117   0.1          14.772   0.1          14.469   0.1          0.016365  
  1301101   18.847   0.1          18.057   0.1          17.676   0.1          17.369   0.1          0.06      
  1302101   18.846   0.1          18.057   0.1          17.676   0.1          17.369   0.1          0.06      
  1303101   18.846   0.1          18.057   0.1          17.676   0.1          17.369   0.1          0.06      
  1304101   18.846   0.1          18.057   0.1          17.676   0.1          17.369   0.1          0.06      
  1301102   20.065   0.1          19.246   0.1          18.822   0.1          18.527   0.1          0.1       
  1302102   20.064   0.1          19.246   0.1          18.821   0.1          18.527   0.1          0.1       
  1303102   20.064   0.1          19.246   0.1          18.821   0.1          18.527   0.1          0.1       
  1304102   20.064   0.1          19.246   0.1          18.821   0.1          18.527   0.1          0.1       
  1301103   23.104   0.1          21.963   0.1          21.442   0.1          21.084   0.1          0.3       
  1302103   23.105   0.1          21.966   0.1          21.441   0.1          21.085   0.1          0.3       
  1303103   23.106   0.1          21.967   0.1          21.442   0.1          21.084   0.1          0.3       
  1304103   23.106   0.1          21.967   0.1          21.442   0.1          21.084   0.1          0.3       
  1301104   24.588   0.1          23.481   0.1          22.841   0.1          22.355   0.1          0.5       
  1302104   24.574   0.1          23.496   0.1          22.843   0.1          22.356   0.1          0.5       
  1303104   24.575   0.1          23.497   0.1          22.843   0.1          22.356   0.1          0.5       
  1304104   24.575   0.1          23.497   0.1          22.843   0.1          22.356   0.1          0.5       
  1301105   25.87    0.1          25.119   0.1          24.275   0.1          23.696   0.1          0.8       
  1302105   25.819   0.1          25.153   0.1          24.274   0.1          23.698   0.1          0.8       
