  ID       SDSS.g               SDSS.g_err           SDSS.r               SDSS.r_err            SDSS.i               SDSS.i_err            SDSS.z              SDSS.z_err           redshift
  500000   3.65763318948936     0.3368804713302488   7.634842178470742    0.7031949619787781    11.386757459823297   1.0487591350088437    15.70363025030223   1.4463578183618615   0.045151
  600000   8.928943905685161    0.8223861375909357   17.55497345095201    1.6168728311360159    25.35127828860087    2.3349390538203414    33.35799943180043   3.0723853347328096   0.030486
  700000   6.804560254065141    0.6267231695545097   9.567534089564882    0.8812024679847181    12.450882051328655   1.1467686333288436    13.65211349709497   1.257406139787759    0.027244
  800000   4.218907880721663    0.3885757815848225   7.184558249090134    0.6617222788245241    9.289667784470398    0.8556100351251253    11.407750449867152  1.0506926608749494   0.024272
  1200000  1.276438539727909    0.11756433589986795  1.8281004088317927   0.1683742725038684    2.2019117627765876   0.20280357106431315   2.5870212007493163  0.23827346163474852  0.016529
  1300000  1.6173346693931772   0.14896203022479454  3.259869011481517    0.30024503611202275   4.479194022067979    0.41254902150113026   5.921068084571543   0.5453505323718458   0.016365
  1400000  4.906817050565005    0.4519345585215493   10.232929922807548   0.9424876899605358    14.073427724141263   1.2962106147125148    18.810489651127618  1.7325101483206216   0.02364
  1600000  20.137236130988338   1.8547080168098964   41.99523317130893    3.8679039727188607    56.182361629053865   5.174586812157756     77.83949818542827   7.169282833546807    0.012643
  1900000  1.2427969449576939   0.11446583046879888  2.212075558846651    0.20373969129102884   2.841843007238358    0.26174341770413734   3.64753985372128    0.33595084073726966  0.010557
  2000000  3.17687273122936     0.29260079609081174  2.681635898452737    0.24698779746500363   2.7925442336976816   0.25720283279417133   3.3978185269686962  0.3129506562192124   0.007148
  2100000  0.4528974844292155   0.041713400473626684 0.8574330624952308   0.07897250469445202   1.1890497959603017   0.10951553503214072   1.4387996903936584  0.13251835073087273  0.032789
  2200000  1.8984528295627856   0.17485397000967262  3.473760445691705    0.3199451655228373    4.5793089201260395   0.4217699445127371    5.802296662054742   0.5344112799304029   0.02253
  2300000  2.034230286398779    0.1873595361190281   3.302175304041252    0.3041415897136015    4.3491064696159      0.4005675149601824    5.114461294037856   0.47105930039319466  0.033313
  2500000  3.3573760244692785   0.30922576402856583  5.845209471509592    0.5383636958032678    7.783949818542822    0.7169282833546802    9.281112166725888   0.8548220335981888   0.037436
  3000000  3.13040046419148     0.28832054205426855  6.344537645678696    0.5843535209027181    8.48789449327771     0.7817639848942911    11.096860308839283  1.0220586202766855   0.022333
  3400000  4.361141154266211    0.401675950395687    9.718519214725422    0.8951087121302773    13.893123986212162   1.2796040264983912    19.444636102947573  1.7909171958603822   0.022327
  3800000  5.039645388233706    0.46416850071357446  10.665961961792455   0.982371415265068     14.983035999708358   1.3799886341922971    19.84266247505154   1.8275767800476563   0.029021
  4200000  4.499869516594223    0.41445330494896265  6.643547660067646    0.6118933613846109    7.805489273153665    0.7189121404681679    9.506048604546374   0.8755394454507676   0.014734
  4400000  3.5156048993612816   0.32379918219002857  5.89929577246221     0.5433452282898459    8.27942512786007     0.7625632464819145    9.763378890336087   0.8992404410053515   0.042803
  4700000  1.2705748194677746   0.1170242672974014   1.7963875000486327   0.16545340561956073   2.0137236130988327   0.18547080168098956   2.2019117627765876  0.20280357106431315  0.013112
  5000000  0.8693606558557861   0.08007107665751441  1.88799128276236     0.17389042592682188   2.6717752765327094   0.24607960060984221   3.480167838353689   0.3205353082047689   0.031746
  5200000  1.0577906386611695   0.09742611969535671  1.7076540888276157   0.1572807563006578    2.16570875342096     0.19946915062807472   2.4254934706853453  0.22339620767904153  0.049254
  5400000  0.708598017372818    0.06526429024162517  0.8986688761885714   0.08277046354735666   1.1220188485194043   0.10334175652627714   1.3753070150318654  0.12667045913163735  0.013281
  5700000  0.1194537277116117   0.011002095073197065 0.22100402180775436  0.020355222947567104  0.32568667304735743  0.029996851580814752  0.37635684830486993 0.03466374725865068  0.032237
  6200000  0.9718519214725422   0.08951087121302773  1.1137805296531904   0.10258297930646346   1.2022635897946619   0.11073257043847173   1.4494395375815914  0.13349831688654212  0.023423
  6400000  1.1934381779417633   0.10991971995547864  1.3122004522636914   0.12085812981702329   1.4547889303248986   0.13399101417337628   1.753880563463758   0.16153837202005517  0.007962
  6500000  0.2823577504047483   0.026006110266453514 0.37325039384811     0.034377632225419216  0.4541507253976998   0.041828828234225145  0.5440009653995266  0.050104341286745645 0.021587
  6900000  3.557950280536812    0.3276993359862224   3.933688419747344    0.3623060980305231    4.377236656174548    0.403158400928113     5.6702222574005265  0.5222467775362233   0.033181
  7100000  7.0859801737281805   0.6526429024162517   13.893123986212162   1.2796040264983912    19.64264977145984    1.809154928985162     26.013561416001707  2.3959375849890763   0.005735
  7200000  2.124222910264985    0.19564816321028813  4.651574931825769    0.42842589026271555   6.546363810710839    0.6029423979388807    8.574323093550776   0.789724353276794    0.030192
  7500000  0.3067607381783245   0.028253708534823438 0.44381314871492805  0.04087670222134004   0.5325987544907239   0.04905415883646538   0.6528293211962554  0.06012780342621086  0.008197
  7700000  4.554074342876875    0.41944575402202666  8.024168214168116    0.7390532155575572    10.53901045161769    0.970678748896374     14.427798157574644  1.3288493382957314   0.026458
  8000000  3.2508733165093138   0.29941650197391195  4.369181493507158    0.4024164930178747    4.821696211037557    0.44409463935676385   5.460091691821119   0.502893036932408    0.007956
  9200000  0.6321202644697133   0.05822042878544861  0.774105586086804    0.07129776037949517   0.886339175219514    0.08163485610433775   1.0009213035843532  0.09218826028945208  0.014664
